Pie,Category,Rating
Sainsbury's,Look,3
Sainsbury's,Pastry,3
Sainsbury's,Filling,2.9
Sainsbury's,Overall,2.96
Heston,Look,3.3
Heston,Pastry,2.9
Heston,Filling,3.5
Heston,Overall,3.23
Iceland,Look,3.1
Iceland,Pastry,3.2
Iceland,Filling,3.5
Iceland,Overall,3.26
Holly Lane (Aldi),Look,2.8
Holly Lane (Aldi),Pastry,2.6
Holly Lane (Aldi),Filling,2.8
Holly Lane (Aldi),Overall,2.73
Mr Kipling,Look,3.1
Mr Kipling,Pastry,3
Mr Kipling,Filling,2.9
Mr Kipling,Overall,3
Tesco,Look,3
Tesco,Pastry,2.4
Tesco,Filling,2.5
Tesco,Overall,2.63
Coop,Look,3.4
Coop,Pastry,2.8
Coop,Filling,2.5
Coop,Overall,2.9
M&S,Look,3.5
M&S,Pastry,3.8
M&S,Filling,3.5
M&S,Overall,3.6
