Year,Artist,Song,Weeks.at.No.1,Type
1980,St Winifred's School Choir,There's No One Quite Like Grandma,2,Group
1981,The Human League,Don't You Want Me,5,Group
1982,Renée and Renato,Save Your Love,4,Duet
1983,The Flying Pickets,Only You,5,Group
1984,Band Aid,Do They Know It's Christmas?,5,Group
1985,Shakin' Stevens,Merry Christmas Everyone,2,Solo
1986,Jackie Wilson,Reet Petite,4,Solo
1987,Pet Shop Boys,Always on My Mind,4,Duet
1988,Cliff Richard,Mistletoe and Wine,4,Group
1989,Band Aid II,Do They Know It's Christmas?,3,Group
1990,Cliff Richard,Saviour's Day,1,Solo
1991,Queen,Bohemian Rhapsody / These Are the Days of Our Lives,5,Group
1992,Whitney Houston,I Will Always Love You,10,Solo
1993,Mr Blobby,Mr Blobby,3,Solo
1994,East 17,Stay Another Day,5,Group
1995,Michael Jackson,Earth Song,6,Group
1996,Spice Girls,2 Become 1,3,Group
1997,Spice Girls,Too Much,2,Group
1998,Spice Girls,Goodbye,1,Group
1999,Westlife,I Have a Dream / Seasons in the Sun,4,Group
2000,Bob the Builder,Can We Fix It?,3,Solo
2001,Robbie Williams and Nicole Kidman,Somethin' Stupid,3,Duet
2002,Girls Aloud,Sound of the Underground,4,Group
2003,Michael Andrews and Gary Jules,Mad World,3,Duet
2004,Band Aid 20,Do They Know It's Christmas?,4,Group
2005,Shayne Ward,That's My Goal,4,Solo
2006,Leona Lewis,A Moment Like This,4,Solo
2007,Leon Jackson,When You Believe,3,Solo
2008,Alexandra Burke,Hallelujah,3,Solo
2009,Rage Against the Machine,Killing in the Name,1,Group
2010,Matt Cardle,When We Collide,3,Solo
2011,Military Wives with Gareth Malone,Wherever You Are,1,Group
2012,The Justice Collective,"He Ain't Heavy, He's My Brother",1,Group
2013,Sam Bailey,Skyscraper,1,Solo
2014,Ben Haenow,Something I Need,1,Solo
2015,Lewisham and Greenwich NHS Choir,A Bridge over You,1,Group
2016,Clean Bandit ft. Sean Paul and Anne-Marie,Rockabye,9,Group
2017,Ed Sheeran,Perfect,6,Solo
2018,LadBaby,We Built This City,1,Duet
2019,LadBaby,I Love Sausage Rolls,1,Duet
2020,LadBaby,Don't Stop Me Eatin',1,Duet
