Brand,Rating,Seller
M&S Bakery,8.4,Supermarkets
Gail's,8.182,Other
Iceland Luxury,7.4,Supermarkets
Pavillion,7.4,Other
Dunns Traditional Shortcrust,7.167,Other
M&S Frangipane,7.167,Supermarkets
Mr Kiping Deep Filled,7,Other
Sainsbury Taste The Difference All Butter,6.875,Supermarkets
Sainsbury Mini Ecclefechan & Mince Meat Tarts,6.833,Supermarkets
Aldi Black Forest,6.7,Supermarkets
ASDA Extra Special Caramel Crumble,6.667,Supermarkets
Flourish,6.667,Other
Ottolenghi,6.647,Other
Tesco Finest,6.583,Supermarkets
St. John,6.273,Other
M&S All Butter,6.2,Supermarkets
Konditor & Cook,6.154,Other
Coco di Mama,6,Other
Greggs,6,Other
Waitrose All Butter (Waitrose 1),6,Supermarkets
Dunns Traditional Puff Pastry,5.857,Other
Waitrose Heston Chocolate & Cherry,5.6,Supermarkets
M&S Puff Pastry,5.429,Supermarkets
Co-op Irresistable,5.167,Supermarkets
Aldi Salted Caramel,5,Supermarkets
Aldi Holly Lane,4.667,Supermarkets
ASDA Extra Special All-Butter Luxury,4.2,Supermarkets
Tesco Mince Pie Cookies,2.4,Supermarkets
